Age,15,20
18,76.42,54.564
19,76.644,54.769
20,76.868,54.974
21,77.139,55.179
22,77.363,55.479
23,77.634,55.733
24,77.953,56.035
25,78.271,56.384
26,78.638,56.735
27,79.052,57.135
28,79.468,57.537
29,79.932,57.728
30,80.445,58.488
31,81.008,59.038
32,81.621,59.688
33,82.235,60.341
34,82.997,61.094
35,83.761,61.899
36,84.626,62.805
37,85.591,63.814
38,86.658,64.926
39,87.681,65.944
40,88.757,67.116
41,89.935,68.343
42,91.169,69.675
43,92.457,71.113
44,93.999,72.658
45,95.547,74.311
46,97.253,76.073
47,99.066,77.995
48,100.988,80.077
49,103.119,82.322
50,105.362,84.731
51,107.817,0.0
52,110.486,0.0
53,113.27,0.0
54,116.372,0.0
55,119.643,0.0
