Age,15,20,25
18,73.149,52.467,42.462
19,73.364,52.666,42.631
20,73.579,52.865,42.895
21,73.793,53.064,43.112
22,74.054,53.311,43.378
23,74.269,53.559,43.692
24,74.578,53.854,44.008
25,74.887,54.15,43.41
26,75.243,54.495,44.738
27,75.601,54.84,45.202
28,76.007,55.235,45.667
29,76.413,55.679,46.183
30,76.869,56.173,46.751
31,77.374,56.669,47.369
32,77.976,57.264,48.039
33,78.58,57.91,48.811
34,79.235,58.607,49.635
35,79.989,59.356,50.562
36,80.795,60.256,51.542
37,81.701,61.208,52.677
38,82.708,62.264,53.867
39,83.622,63.275,55.062
40,84.638,64.34,56.363
41,85.707,65.51,57.721
42,86.879,66.784,59.186
43,88.155,68.165,60.809
44,89.487,69.652,62.491
45,90.974,71.247,64.283
46,92.567,72.95,0.0
47,94.267,74.812,0.0
48,96.076,76.836,0.0
49,98.044,78.971,0.0
50,100.172,81.319,0.0
51,102.461,0.0,0.0
52,104.964,0.0,0.0
53,107.632,0.0,0.0
54,110.515,0.0,0.0
55,113.617,0.0,0.0
