Age,15,20
18,82.95,58.55
19,82.95,58.60
20,82.95,58.65
21,83.00,58.70
22,83.00,58.85
23,83.05,58.95
24,83.15,59.10
25,83.25,59.30
26,83.40,59.50
27,83.60,59.75
28,83.80,60.00
29,84.05,60.03
30,84.35,60.65
31,84.70,61.05
32,85.10,61.55
33,85.50,62.05
34,86.05,62.65
35,86.60,63.30
36,87.25,64.05
37,88.00,64.90
38,88.85,65.85
39,89.65,66.70
40,90.50,67.70
41,91.45,68.75
42,92.45,69.90
43,93.50,71.15
44,94.80,72.50
45,96.10,73.95
46,97.55,75.50
47,99.10,77.20
48,100.75,79.05
49,102.60,81.05
50,104.55,83.20
51,106.70,0
52,109.05,0
53,111.50,0
54,114.25,0
55,117.15,0
